from_id,to_id,intensity
Warrior I,Strength,8
Warrior II,Strength,7
Plank,Strength,9
Bridge,Core Strength,8
Downward Dog,Strength,5
Triangle,Flexibility,7
Pigeon,Hip Opening,9
Child Pose,Stress Relief,8
Lotus,Meditation,8
Headstand,Focus,9
Tree Pose,Balance,7
Cobra,Spinal Mobility,6
Camel,Spinal Mobility,8
Scorpion,Strength,10
Shoulderstand,Circulation,8
Mountain Pose,Balance,6
Forward Fold,Flexibility,8
Warrior III,Balance,8
Crow Pose,Strength,9
Boat Pose,Core Strength,9
Chair Pose,Strength,7
Goddess Pose,Strength,8
Half Moon,Balance,7
Wheel,Spinal Mobility,9
Corpse Pose,Calmness,10
Downward Dog,Flexibility,6
Pigeon,Flexibility,8
Camel,Flexibility,7
Half Moon,Hip Opening,8
Lotus,Hip Opening,9
Bridge,Glutes,8
Warrior I,Focus,6
Headstand,Energy,8
Shoulderstand,Better Sleep,7
Forward Fold,Stress Relief,8
Corpse Pose,Meditation,9

