name,category,description
Strength,Physical,Build muscle and endurance throughout the body
Flexibility,Physical,Increase range of motion and joint mobility
Balance,Physical,Improve stability and coordination
Stress Relief,Mental,Reduce anxiety tension and promote relaxation
Focus,Mental,Enhance concentration and mental clarity
Calmness,Mental,Promote inner peace and emotional stability
Energy,Physical,Boost vitality and overall wellness
Core Strength,Physical,Strengthen abdominal muscles and deep core
Hip Opening,Physical,Release hip tension and improve mobility
Spinal Mobility,Physical,Enhance spine flexibility and health
Circulation,Physical,Improve blood flow and cardiovascular health
Meditation,Mental,Deepen mindfulness and awareness
Breath Control,Physical,Enhance respiratory capacity and pranayama
Weight Management,Physical,Support healthy weight through practice
Injury Prevention,Physical,Build resilience and prevent future injuries
Better Sleep,Mental,Improve sleep quality and rest
Digestion,Physical,Support healthy digestion and metabolism

