name,description
Shoulders,Upper body joint connecting arms to torso
Chest,Front upper body including ribs and pectorals
Spine,Central column supporting the entire body
Hamstrings,Back of thigh muscles
Quadriceps,Front of thigh muscles
Hips,Pelvic joints and hip flexors
Lower Back,Lumbar region of the spine
Core,Abdominal muscles and deep stabilizers
Wrists,Hand joints requiring stability
Ankles,Foot joints and ankle stability
Neck,Upper spine and cervical region
Glutes,Buttock muscles and hip extensors
Calves,Back of lower leg muscles
Inner Thighs,Adductor muscles of the thigh
Upper Back,Thoracic region of the spine

