name,description
Standing Poses,Poses performed while standing building strength and balance
Seated Poses,Poses performed while sitting opening hips and stretching hamstrings
Backbends,Poses that extend the back energizing and opening the front body
Forward Bends,Poses that fold the body forward calming and stretching the back
Inversions,Poses with head below heart reversing perspective and building strength
Arm Balances,Poses supporting body weight on arms building upper body strength
Twists,Poses that rotate the spine aiding digestion and detoxification
Hip Openers,Poses that stretch and open the hip joints
Core Strengtheners,Poses that engage and strengthen abdominal muscles
Restorative,Passive poses using props for relaxation and healing
Transitions,Flowing movements connecting poses smoothly
Meditation Poses,Seated poses designed for meditation and pranayama

