name,origin,description,difficulty_level
Hatha,India,Foundation of all yoga styles focusing on physical postures and breathing,3
Vinyasa,India,Flow-based dynamic practice linking breath with movement,5
Ashtanga,India,Structured eight-limbed path with rigorous sequences,6
Iyengar,India,Precise alignment focus using props and detailed instruction,4
Bikram,USA,Hot yoga practice in heated room for detoxification,7
Kundalini,India,Energy awakening practice emphasizing meditation and chanting,8
Yin,Modern,Deep tissue slow practice holding poses for flexibility,4
Restorative,Modern,Passive relaxation practice for stress relief and healing,2
Power Yoga,USA,Fast-paced athletic style building strength and endurance,7
Yin-Yang,Modern,Combination of active and passive poses,5

